activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,394374,[],CHEMBL729931,Inhibitory concentration required against Monkeypox virus in Vero cell culture,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncnc2c1ncn2C[C@H]1COP(=O)(O)CO1,,,CHEMBL1147452,Bioorg. Med. Chem. Lett.,2004,,CHEMBL112159,,CHEMBL112159,4.32,0,http://www.openphacts.org/units/Nanomolar,214242,=,1,1,=,,IC50,nM,,48000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,48.0
,399398,[],CHEMBL729931,Inhibitory concentration required against Monkeypox virus in Vero cell culture,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncnc2c1ncn2C[C@@H](CO)OP(=O)(O)O,,,CHEMBL1147452,Bioorg. Med. Chem. Lett.,2004,,CHEMBL113930,,CHEMBL113930,4.66,0,http://www.openphacts.org/units/Nanomolar,214244,=,1,1,=,,IC50,nM,,22000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,22.0
,400857,[],CHEMBL729931,Inhibitory concentration required against Monkeypox virus in Vero cell culture,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncnc2c1ncn2C[C@H](O)CO,,,CHEMBL1147452,Bioorg. Med. Chem. Lett.,2004,,CHEMBL494759,(S)-DHPA,CHEMBL494759,4.27,0,http://www.openphacts.org/units/Nanomolar,214240,=,1,1,=,,IC50,nM,,54000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,54.0
,405209,[],CHEMBL729931,Inhibitory concentration required against Monkeypox virus in Vero cell culture,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncnc2c1ncn2C[C@@H]1COP(=O)(O)CO1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1147452,Bioorg. Med. Chem. Lett.,2004,,CHEMBL114867,,CHEMBL114867,,0,http://www.openphacts.org/units/Nanomolar,214243,>,1,1,>,,IC50,nM,,350000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,350.0
,407658,[],CHEMBL729931,Inhibitory concentration required against Monkeypox virus in Vero cell culture,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncnc2c1ncn2C[C@@H](O)CO,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1147452,Bioorg. Med. Chem. Lett.,2004,,CHEMBL321500,,CHEMBL321500,,0,http://www.openphacts.org/units/Nanomolar,214241,>,1,1,>,,IC50,nM,,500000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,500.0
,407662,[],CHEMBL729931,Inhibitory concentration required against Monkeypox virus in Vero cell culture,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncnc2c1ncn2C[C@H](CO)OP(=O)(O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1147452,Bioorg. Med. Chem. Lett.,2004,,CHEMBL326139,,CHEMBL326139,,0,http://www.openphacts.org/units/Nanomolar,214245,>,1,1,>,,IC50,nM,,300000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,300.0
,2601917,[],CHEMBL1034014,Antiviral activity against Monkeypox virus,F,,,BAO_0000190,BAO_0000218,organism-based format,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1136837,Bioorg. Med. Chem.,2009,,CHEMBL1643,RIBAVIRIN,CHEMBL1643,,0,http://www.openphacts.org/units/Nanomolar,808021,=,1,1,=,,IC50,nM,,145000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,145.0
,2602326,[],CHEMBL1034014,Antiviral activity against Monkeypox virus,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ccn(C[C@H]2COP(=O)(O)CO2)c(=O)n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1136837,Bioorg. Med. Chem.,2009,,CHEMBL392630,CYCLIC CIDOFOVIR,CHEMBL392630,,0,http://www.openphacts.org/units/Nanomolar,807050,=,1,1,=,,IC50,nM,,760000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,760.0
,2602329,[],CHEMBL1034014,Antiviral activity against Monkeypox virus,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1136837,Bioorg. Med. Chem.,2009,,CHEMBL152,CIDOFOVIR,CHEMBL152,,0,http://www.openphacts.org/units/Nanomolar,807051,=,1,1,=,,IC50,nM,,505000.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,505.0
,14986431,[],CHEMBL3387286,Antiviral activity against Monkeypox virus infected in African green monkey Vero E6 cells,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncc(F)c2c1ncn2[C@@H]1C[C@H](O)[C@@H](O)[C@H]1O,,,CHEMBL3351456,Bioorg. Med. Chem.,2014,,CHEMBL3290663,,CHEMBL3290663,,0,http://www.openphacts.org/units/Nanomolar,2258676,<,1,1,<,,IC50,nM,,320.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,0.32
,14986432,[],CHEMBL3387286,Antiviral activity against Monkeypox virus infected in African green monkey Vero E6 cells,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncc(F)c2c1ncn2[C@@H]1C[C@H](CCO)[C@@H](O)[C@H]1O,,,CHEMBL3351456,Bioorg. Med. Chem.,2014,,CHEMBL3357216,,CHEMBL3357216,,0,http://www.openphacts.org/units/Nanomolar,2258675,<,1,1,<,,IC50,nM,,320.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,0.32
,14986433,[],CHEMBL3387286,Antiviral activity against Monkeypox virus infected in African green monkey Vero E6 cells,F,,,BAO_0000190,BAO_0000218,organism-based format,Nc1ncc(F)c2c1ncn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,,,CHEMBL3351456,Bioorg. Med. Chem.,2014,,CHEMBL3357215,,CHEMBL3357215,,0,http://www.openphacts.org/units/Nanomolar,2258674,<,1,1,<,,IC50,nM,,320.0,CHEMBL613120,Monkeypox virus,Monkeypox virus,10244,,,IC50,uM,UO_0000065,,0.32
